guangdong,110760,12601
jiangsu,102719,8474
shandong,73129,10152
zhejiang,64613,6456
henan,54997,9937
sichuan,48598,8367
hubei,43443,5775
fujian,43903,4154
hunan,41781,6644
shanghai,38700,2487
anhui,38680,6102
beijing,36102,2189
